ID,PLAYER,POSITION,AGE,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,SALARY_MILLIONS,cluster
1,Russell Westbrook,PG,28,1.7,9,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,6.74,-0.47,6.27,26.5,3
2,James Harden,PG,27,1.2,7,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,6.38,-1.57,4.81,26.5,3
3,Isaiah Thomas,PG,27,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,BOS,76,33.8,5.72,-3.89,1.83,6.59,3
4,Anthony Davis,C,23,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28,NO,75,36.1,0.45,3.9,4.35,22.12,1
5,DeMarcus Cousins,C,26,2.1,8.9,11,4.6,1.4,1.3,3.7,3.9,27,NO/SAC,72,34.2,3.56,0.64,4.2,16.96,1
6,Damian Lillard,PG,26,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,POR,75,35.9,4.63,-1.49,3.14,24.33,3
7,LeBron James,SF,32,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,6.49,1.93,8.42,30.96,4
8,Kawhi Leonard,SF,25,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,5.83,1.25,7.08,17.64,4
9,Stephen Curry,PG,28,0.8,3.7,4.5,6.6,1.8,0.2,3,2.3,25.3,GS,79,33.4,7.27,0.14,7.41,12.11,3
10,Kyrie Irving,PG,24,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72,35.1,4.35,-2.3,2.05,17.64,3
11,Kevin Durant,SF,28,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,4.41,1.33,5.74,26.5,4
12,Karl-Anthony Towns,C,21,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37,3.54,-1.41,2.13,5.96,1
13,Jimmy Butler,SF,27,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,CHI,76,37,4.82,1.8,6.62,17.55,4
14,Paul George,SF,26,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,IND,75,35.9,2.67,-0.09,2.58,18.31,4
15,Andrew Wiggins,SF,21,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6,MIN,82,37.2,1.56,-3.16,-1.6,6.01,4
16,Kemba Walker,PG,26,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,CHA,79,34.7,3.93,-1.25,2.68,12,3
17,Bradley Beal,SG,23,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,WSH,77,34.9,3.29,-1.04,2.25,22.12,5
18,John Wall,PG,26,0.8,3.4,4.2,10.7,2,0.6,4.1,1.9,23.1,WSH,78,36.4,3.52,-1.26,2.26,16.96,3
19,Giannis Antetokounmpo,SF,22,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,MIL,80,35.6,2.35,1.86,4.21,3,4
20,Carmelo Anthony,SF,32,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,NY,74,34.3,1.87,-1.75,0.12,24.56,4
21,Klay Thompson,SG,26,0.6,3,3.7,2.1,0.8,0.5,1.6,1.8,22.3,GS,78,34,2.78,-0.45,2.33,16.66,5
22,Devin Booker,SG,20,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,PHX,78,35,1.28,-2.58,-1.3,2.22,5
23,Gordon Hayward,SF,26,0.7,4.7,5.4,3.5,1,0.3,1.9,1.6,21.9,UTAH,73,34.5,3.14,-0.08,3.06,16.07,4
24,Blake Griffin,PF,27,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61,34,3.02,0.76,3.78,20.14,2
25,Eric Bledsoe,PG,27,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,PHX,66,33,2.33,-0.64,1.69,14,3
26,Mike Conley,PG,29,0.4,3,3.5,6.3,1.3,0.3,2.3,1.8,20.5,MEM,69,33.2,4.67,-0.2,4.47,26.54,3
27,Brook Lopez,C,28,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,BKN,75,29.6,1.4,0.55,1.95,21.17,1
28,Goran Dragic,PG,30,0.8,3,3.8,5.8,1.2,0.2,2.9,2.7,20.3,MIA,73,33.7,2.54,-1.62,0.92,15.89,3
29,Joel Embiid,C,22,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,PHI,31,25.4,-0.57,2.27,1.7,4.83,1
30,Jabari Parker,PF,21,1.5,4.6,6.2,2.8,1,0.4,1.8,2.2,20.1,MIL,51,33.9,0.83,-1.61,-0.78,5.37,2
31,Marc Gasol,C,32,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,MEM,74,34.2,1.86,0.72,2.58,21.17,1
32,Kevin Love,PF,28,2.5,8.6,11.1,1.9,0.9,0.4,2,2.1,19,CLE,60,31.4,2.77,2.26,5.03,21.17,2
33,Zach LaVine,SG,21,0.4,3,3.4,3,0.9,0.2,1.8,2.2,18.9,MIN,47,37.2,-0.62,-2.35,-2.97,2.24,5
34,Rudy Gay,SF,30,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,SAC,30,33.8,-0.21,1.96,1.75,13.33,4
35,Dwyane Wade,SG,35,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,CHI,60,29.9,-0.45,-0.46,-0.91,23.2,5
36,Danilo Gallinari,SF,28,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,DEN,63,33.9,2.67,0.21,2.88,15.05,4
37,Paul Millsap,PF,31,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,ATL,69,34,1.23,3.35,4.58,20.07,2
38,Chris Paul,PG,31,0.7,4.3,5,9.2,2,0.1,2.4,2.4,18.1,LAC,61,31.5,5.16,2.76,7.92,22.87,3
39,Kristaps Porzingis,PF,21,1.7,5.5,7.2,1.5,0.7,2,1.8,3.7,18.1,NY,66,32.8,-0.31,1.9,1.59,4.32,2
40,Derrick Rose,PG,28,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18,NY,64,32.5,0.11,-2.36,-2.25,21.32,3
